label,statement,target,clean_text
false,I co-sponsored the Rebuild America Jobs Act for transportation and infrastructure.,false,cosponsored rebuild america jobs act transportation infrastructure
false,"Says a new report proves the stimulus supported by N.J. Democrats cost $278,000 per job.",false,says new report proves stimulus supported nj democrats cost per job
pants-fire,Says its absurd to say theres enough data to establish a link between playing football and Chronic Traumatic Encephalopathy.,pants-fire,says absurd say theres enough data establish link playing football chronic traumatic encephalopathy
false,The wives of the 9/11 hijackers knew exactly what was happening and went back to Saudi Arabia two days before the attacks to watch their husbands on television flying the planes.,false,wives hijackers knew exactly happening went back saudi arabia two days attacks watch husbands television flying planes
pants-fire,Says Jill McCabe supports late term abortions. Larger baby parts are more profitable.,pants-fire,says jill mccabe supports late term abortions larger baby parts profitable
false,"Says U.S. Rep. Nancy Pelosi said, Employers cutting hours is a good thing. It then gives that person time to pursue their dreams and passions.",false,says us rep nancy pelosi said employers cutting hours good thing gives person time pursue dreams passions
half-true,Florida has a law like (Indianas Religious Freedom Restoration Act).,half-true,florida law like indianas religious freedom restoration act
false,The things I said (during the prank call by a blogger posing as GOP contributor David Koch) are the things Ive said publicly all along about the Wisconsin budget debate.,false,things said prank call blogger posing gop contributor david koch things ive said publicly along wisconsin budget debate
pants-fire,Say photographs of Hillary Clinton at the debate show what could be an earpiece.,pants-fire,say photographs hillary clinton debate show could earpiece
barely-true,Says Joe Biden went to China and said that he sympathized and wouldnt second-guess their one-child policy of forced abortions and sterilizations.,barely-true,says joe biden went china said sympathized wouldnt secondguess onechild policy forced abortions sterilizations
false,On whether to seat Roland Burris as the new senator from Illinois.,false,whether seat roland burris new senator illinois
pants-fire,2014 Federal Tax Refunds To Be Delayed Until October 2015.,pants-fire,federal tax refunds delayed october
mostly-true,Forty-five states allow open carry of firearms.,mostly-true,fortyfive states allow open carry firearms
false,"Obama ""remains silent"" and ""is never asked how he feels about his church honoring Farrakhan.""",false,obama remains silent never asked feels church honoring farrakhan
half-true,"When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said no, were building a wall and were deporting everybody. He said, quote, they will all be gone. They will all be gone. This is one of the ones where you can go to the tape on it and see what Donald Trump has said.",half-true,donald trump spoke phoenix looked audience eye said building wall deporting everybody said quote gone gone one ones go tape see donald trump said
half-true,"John Edwards never -- has ever from the beginning of his political career has never taken PAC money or the money of Washington lobbyists. Ever. -Joe Trippi, senior campaign adviser",half-true,john edwards never ever beginning political career never taken pac money money washington lobbyists ever joe trippi senior campaign adviser
mostly-true,"When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine.",mostly-true,jeb bush governor first four years governor medicaid program grew twice fast mine
half-true,The University of Wisconsin System had a jobs-for-life tenure program for professors.,half-true,university wisconsin system jobsforlife tenure program professors
half-true,"Unemployment among Oregon high school graduates aged 18 to 20 increased more than 200 percent from 2008 to 2011, while the U.S. average increased only 30 percent.",half-true,unemployment among oregon high school graduates aged increased percent us average increased percent
mostly-true,"Hospitals, doctors, MRIs, surgeries and so forth are more extensively used and far more expensive in this country than they are in many other countries.''	health-care	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	a Fox News Sunday interview
9874.json	barely-true	Obamacare cuts seniors Medicare.	health-care,medicare	ed-gillespie	Republican strategist	Washington, D.C.	republican	2	3	2	2	1	a campaign email.
3072.json	mostly-true	The refusal of many federal employees to fly coach costs taxpayers $146 million annually.	government-efficiency,transparency	newsmax	Magazine and website	Florida	none	0	0	0	1	0	an e-mail solicitation
2436.json	mostly-true	Florida spends more than $300 million a year just on children repeating pre-K through 3rd grade.	education	alex-sink		Florida	democrat	1	2	2	4	0	figures cites on campaign website
9721.json	true	Milwaukee County Sheriff David A. Clarke Jr. advised citizens to point that barrel center mass and pull the trigger because 911 is not our best option.	crime,criminal-justice,guns,legal-issues	greater-wisconsin-political-fund		Wisconsin	none	3	3	3	1	1	a campaign TV ad
3627.json	false	Almost 37 percent of the total income from Planned Parenthood is from abortions.	abortion	ronald-renuart	State Representative	Florida	republican	0	1	0	0	0	comments during a committee hearing
11900.json	half-true	The United States has the highest rate of childhood poverty of almost any major country on Earth.	children,poverty	bernie-s	U.S. Senator	Vermont	independent	18	12	22	41	0	comments during the PBS Democratic debate
4611.json	true	Under Governor Almond the RI DMV had a program that allowed undocumented [people to] use their Personal Tax Identification Number . . . to apply [for] and receive a RI drivers license.	civil-rights,homeland-security,immigration,public-safety,transportation,workers	david-quiroa	prresident, Guatemalan-American Alliance of Rhode Island	Rhode Island	newsmaker	0	0	0	0	0	a news release
3168.json	pants-fire	Illegal aliens cost the state of Rhode Island $400 million a year.	census,crime,education,health-care,immigration,state-budget,taxes	terry-gorman	President, Rhode Islanders for Immigration Law Enforcement	Rhode Island	newsmaker	1	0	0	0	1	a radio interview
6832.json	pants-fire	Says Eric Cantor voted to assure Congress would be paid if the government shut down and against guaranteeing troops would be paid.	congressional-rules,federal-budget,military	wayne-powell	lawyer	Virginia	democrat	1	1	0	0	1	a debate.
5893.json	mostly-true	If Congress froze the current spending level and then cut it by 2 percent annually, we could balance the budget in five years.	deficit,federal-budget	jamie-radtke		Virginia	republican	1	1	1	2	0	a statement
3304.json	true	Every (Wisconsin) legislator that votes for this bill will have to give up the same amount of pay as other state employees.	labor,state-budget	jeff-fitzgerald	Incoming speaker of state Assembly	Wisconsin	republican	2	0	1	2	2	an interview on the Fox News Channel
1638.json	half-true	Marco Rubio controlled funds that out of the $600,000 that were raised, only $4,000 went to candidates to try to improve their chances to be elected to office.""",mostly-true,hospitals doctors mris surgeries forth extensively used far expensive country many countries healthcare mittromney former governor massachusetts republican fox news sunday interview json barelytrue obamacare cuts seniors medicare healthcaremedicare edgillespie republican strategist washington dc republican campaign email json mostlytrue refusal many federal employees fly coach costs taxpayers million annually governmentefficiencytransparency newsmax magazine website florida none email solicitation json mostlytrue florida spends million year children repeating prek rd grade education alexsink florida democrat figures cites campaign website json true milwaukee county sheriff david clarke jr advised citizens point barrel center mass pull trigger best option crimecriminaljusticegunslegalissues greaterwisconsinpoliticalfund wisconsin none campaign tv ad json false almost percent total income planned parenthood abortions abortion ronaldrenuart state representative florida republican comments committee hearing json halftrue united states highest rate childhood poverty almost major country earth childrenpoverty bernies us senator vermont independent comments pbs democratic debate json true governor almond ri dmv program allowed undocumented people use personal tax identification number apply receive ri drivers license civilrightshomelandsecurityimmigrationpublicsafetytransportationworkers davidquiroa prresident guatemalanamerican alliance rhode island rhode island newsmaker news release json pantsfire illegal aliens cost state rhode island million year censuscrimeeducationhealthcareimmigrationstatebudgettaxes terrygorman president rhode islanders immigration law enforcement rhode island newsmaker radio interview json pantsfire says eric cantor voted assure congress would paid government shut guaranteeing troops would paid congressionalrulesfederalbudgetmilitary waynepowell lawyer virginia democrat debate json mostlytrue congress froze current spending level cut percent annually could balance budget five years deficitfederalbudget jamieradtke virginia republican statement json true every wisconsin legislator votes bill give amount pay state employees laborstatebudget jefffitzgerald incoming speaker state assembly wisconsin republican interview fox news channel json halftrue marco rubio controlled funds raised went candidates try improve chances elected office
mostly-true,Says Hillary Clintons campaign hasnt been clear about when she wiped herserverof her work emails.,mostly-true,says hillary clintons campaign hasnt clear wiped herserverof work emails
false,Says Rep. Jon Runyan voted to redefine rape.,false,says rep jon runyan voted redefine rape
mostly-true,Ted Cruz is mathematically out of winning the race.,mostly-true,ted cruz mathematically winning race
true,John Paul Stevens is the only Protestant on the U.S. Supreme Court.,true,john paul stevens protestant us supreme court
mostly-true,Eighty percent of the antibiotics in this country are fed to livestock.,mostly-true,eighty percent antibiotics country fed livestock
false,"This year, Eric Cantor has received more money from oil companies than any other member of Congress.",false,year eric cantor received money oil companies member congress
true,Says Rep. Steve Stockman basically wants gun-filled zones in schools.,true,says rep steve stockman basically wants gunfilled zones schools
true,Says military expenditures for the United States are greater than the combined spending of the next 14 largest nations.,true,says military expenditures united states greater combined spending next largest nations
false,"The Iran deal says that if any other country tries to undermine (Irans) nuclear program, we have to help them defend themselves against Israel, Egypt, Saudis, our own allies.",false,iran deal says country tries undermine irans nuclear program help defend israel egypt saudis allies
barely-true,"Rick Scotts Administration spent over $100,000 of taxpayer money during their first voter purge attempt in 2012.",barely-true,rick scotts administration spent taxpayer money first voter purge attempt
true,We are number one in the world when it comes to energy resources. ... The Russians are second; Saudi Arabia is number three.,true,number one world comes energy resources russians second saudi arabia number three
half-true,The Agriculture Department estimates that roughly 42 percent of the corn crop will be used to make ethanol -- more than the amount of corn used to feed livestock and poultry in the United States.,half-true,agriculture department estimates roughly percent corn crop used make ethanol amount corn used feed livestock poultry united states
barely-true,"In 1913, it was legal to mail children.",barely-true,legal mail children
false,"Tonight in Ohio, more people came out to vote for Barack Obama in an unopposed race than voted for (Mitt) Romney and (Rick) Santorum combined.",false,tonight ohio people came vote barack obama unopposed race voted mitt romney rick santorum combined
mostly-true,"Democrats compare the infrastructure programs in the stimulus to the Eisenhower interstate program, ""but he proposed a $500 billion highway system, and they're going to put $30 billion"" into roads and bridges.",mostly-true,democrats compare infrastructure programs stimulus eisenhower interstate program proposed billion highway system theyre going put billion roads bridges
half-true,Congressman (Tom) Cotton is the only Arkansan in Congress -- Democrat or Republican -- to vote against disaster relief five times.,half-true,congressman tom cotton arkansan congress democrat republican vote disaster relief five times
true,The U.S. Navy has sailed ships around the world for 60 years with nuclear power plants on them and we've never had an accident.,true,us navy sailed ships around world years nuclear power plants weve never accident
true,No openly gay man has ever been elected to the Georgia Legislature.,true,openly gay man ever elected georgia legislature
pants-fire,"U.S. Reps. Eric Cantor and Luis Gutierrez were touring the country last year joined at the hip, working together in a bipartisan fashion indeed for the goal of immigration reform.",pants-fire,us reps eric cantor luis gutierrez touring country last year joined hip working together bipartisan fashion indeed goal immigration reform
false,The $5 billion website for Obamacare never worked. Still doesnt work.,false,billion website obamacare never worked still doesnt work
mostly-true,It takes almost a year for a refugee to be processed in the United States.,mostly-true,takes almost year refugee processed united states
true,"Congressman Ryan has secured a grand total of $116,838,763 to date (for the Mahoning Valley) and has an additional $27,095,000 pending in FY2010 spending bills.",true,congressman ryan secured grand total date mahoning valley additional pending fy spending bills
false,"In North Carolina, they used stimulus money to hire one new state worker. His job, apply for more stimulus funds from the taxpayers by the way of the federal government.",false,north carolina used stimulus money hire one new state worker job apply stimulus funds taxpayers way federal government
mostly-true,"If Sen. Hillary Clinton could enact all of her campaign proposals, taxpayers would be faced with financing more than $777.6-billion in new spending over one White House term.",mostly-true,sen hillary clinton could enact campaign proposals taxpayers would faced financing billion new spending one white house term
false,"Dan Gecker voted to double vehicle registration fees, costing (Chesterfield) county residents over $6 million annually.",false,dan gecker voted double vehicle registration fees costing chesterfield county residents million annually
half-true,"A lot of people don't know that 50,000 Americans now make their living off eBay.",half-true,lot people dont know americans make living ebay
pants-fire,I dont know anything about David Duke.,pants-fire,dont know anything david duke
pants-fire,80 to 85 percent of my campaign funds go to donations to various organizations throughout the City of Providence.,pants-fire,percent campaign funds go donations various organizations throughout city providence
true,Only 3 percent of voters 18 to 34 dont believe that climate change is really happening.,true,percent voters dont believe climate change really happening
mostly-true,Says U.S. Senate candidate Joni Ernst does not support a national minimum wage.,mostly-true,says us senate candidate joni ernst support national minimum wage
pants-fire,Birthers have obtained a copy of Obamas Kenyan birth certificate.,pants-fire,birthers obtained copy obamas kenyan birth certificate
barely-true,Keystone means unlocking the Canadian tar sands.,barely-true,keystone means unlocking canadian tar sands
pants-fire,"The working tax cut created over 40,000 new jobs in just the last four years.",pants-fire,working tax cut created new jobs last four years
true,There are at least twice as many licensed firearm dealers in California as there are McDonalds.,true,least twice many licensed firearm dealers california mcdonalds
false,I played in a game here against the Pittsburgh Steelers where there was 23 inches of snow. We played in at least 15 inches of that.,false,played game pittsburgh steelers inches snow played least inches
barely-true,It is the Department of Homeland Security's view that returning military veterans and gun owners are likely to commit terrorist acts.,barely-true,department homeland securitys view returning military veterans gun owners likely commit terrorist acts
barely-true,Data on violent crime shows Wisconsin has become less safe than it was when Scott Walker took office.,barely-true,data violent crime shows wisconsin become less safe scott walker took office
mostly-true,The Boston Marathon bombing is the fifth case in which U.S. government officials examined individuals potentially involved in terrorism and felt they were no threat and they went on to carry out terrorist murders.,mostly-true,boston marathon bombing fifth case us government officials examined individuals potentially involved terrorism felt threat went carry terrorist murders
mostly-true,"In 2006, Donald Trump was hoping for a real estate crash.",mostly-true,donald trump hoping real estate crash
true,The Republican leadership's budget proposal doesn't contain any numbers.,true,republican leaderships budget proposal doesnt contain numbers
true,Says 1 in 7 American families is on food stamps.,true,says american families food stamps
mostly-true,"The Kenosha casino would be one of the states largest employers and pay more to the state than any other company or Tribe essentially, it would be Wisconsins biggest taxpayer.",mostly-true,kenosha casino would one states largest employers pay state company tribe essentially would wisconsins biggest taxpayer
true,Our race was the closest U.S. Senate race in Ohio in 36 years -- when Howard Metzenbaum defeated Robert Taft in 1976.,true,race closest us senate race ohio years howard metzenbaum defeated robert taft
barely-true,"We have drawn down to presurge levels. Basra, Mosul and now Sadr City are quiet and it's long and it's tough and there will be setbacks.",barely-true,drawn presurge levels basra mosul sadr city quiet long tough setbacks
half-true,"Says Austins treated wastewater, put into the Colorado River, is of higher quality than water the city takes from the lake for public use.",half-true,says austins treated wastewater put colorado river higher quality water city takes lake public use
false,"An amendment to the House health reform bill ""puts new restrictions on women's access to abortion coverage in the private health insurance market even when they would pay premiums with their own money.""",false,amendment house health reform bill puts new restrictions womens access abortion coverage private health insurance market even would pay premiums money
true,"As president, Barack Obama has never visited Israel.",true,president barack obama never visited israel
false,Were the worst state in the country at moving people from welfare to work.,false,worst state country moving people welfare work
half-true,Says the private sector in Texas created 1 million jobs over the past decade.,half-true,says private sector texas created million jobs past decade
barely-true,Pentagon confirms they may court martial soldiers who hold Christian faith.,barely-true,pentagon confirms may court martial soldiers hold christian faith
true,Cobb is one of the largest school systems (in the nation) that is debt free.,true,cobb one largest school systems nation debt free
false,Weve got more revenue than we ever have.,false,weve got revenue ever
mostly-true,"Between 2010 and 2014, there was no net in-migration from Mexico.",mostly-true,net inmigration mexico
true,The Social Security disability fund is going belly up in 2016.,true,social security disability fund going belly
true,"A shocking 20 veterans are committing suicide each and every day, especially our older veterans.",true,shocking veterans committing suicide every day especially older veterans
mostly-true,"Today, the five largest financial institutions are 38 percent bigger than they were back in 2008, when they were too big to fail.",mostly-true,today five largest financial institutions percent bigger back big fail
mostly-true,"The House did vote against engagement in Kosovo, and Bill Clinton kept fighting anyway. And, then, ultimately, a vote did pass.",mostly-true,house vote engagement kosovo bill clinton kept fighting anyway ultimately vote pass
true,Did you know that the U.S. is one of the very few nations in the world without an official language?,true,know us one nations world without official language
barely-true,"Every time weve increased the minimum wage, weve seen a growth in jobs.",barely-true,every time weve increased minimum wage weve seen growth jobs
true,The Florida Legislature raised taxes and fees by almost $2 billion in the 2009 session.,true,florida legislature raised taxes fees almost billion session
true,We have more people working in clean and green energy than in oil and gas in this country.,true,people working clean green energy oil gas country
mostly-true,"Florida has 1,200 golf courses. I think 58 million rounds played a year in Florida. Weve got 44 percent of all travel golf in the country here. 5 million people come here just for golf.",mostly-true,florida golf courses think million rounds played year florida weve got percent travel golf country million people come golf
pants-fire,Says Hillary Clinton had an undercover nurse with her at the Sept. 11 memorial ceremony in New York.,pants-fire,says hillary clinton undercover nurse sept memorial ceremony new york
mostly-true,Only 50 percent of students from Milwaukee public high schools go on to a two-or four-year college.,mostly-true,percent students milwaukee public high schools go twoor fouryear college
true,The fastest-growing part of the Pentagons budget are health care expenses.,true,fastestgrowing part pentagons budget health care expenses
mostly-true,"Inflation-adjusted defense spending has declined 21 percent since 2010, and even if we discount the drawdowns in Iraq and Afghanistan, it has still declined by a dangerous 12 percent.",mostly-true,inflationadjusted defense spending declined percent since even discount drawdowns iraq afghanistan still declined dangerous percent
mostly-true,"According to ATF data, 70 percent of firearms recovered and traced in drug cartel crimes in Mexico originated from the United States.",mostly-true,according atf data percent firearms recovered traced drug cartel crimes mexico originated united states
mostly-true,The two worst counties for (Medicaid) fraud in the country -- not state -- are Dade and Broward county.,mostly-true,two worst counties medicaid fraud country state dade broward county
true,"Fireworks have never been safer, and their use continues to increase each year.",true,fireworks never safer use continues increase year
mostly-true,Says Donald Trump and Ron Johnson oppose a womans right to choose and Johnson voted against the Violence Against Women Act.,mostly-true,says donald trump ron johnson oppose womans right choose johnson voted violence women act
half-true,"Says over 40 percent of recent county bonds are for Precinct One, northeast Travis County, because he is quick to identify projects that help make the East Side a desirable place to live.",half-true,says percent recent county bonds precinct one northeast travis county quick identify projects help make east side desirable place live
false,Medicare passed with virtually no Republican support.,false,medicare passed virtually republican support
false,Says Wisconsin state Senate President Michael Elllis (R-Neenah) broke Senate rules during debate on a photo ID bill for voters.,false,says wisconsin state senate president michael elllis rneenah broke senate rules debate photo id bill voters
pants-fire,Sen. Hutchison abandoned Republicans and stood with Democrats to ensure health care legislation would pass quickly.,pants-fire,sen hutchison abandoned republicans stood democrats ensure health care legislation would pass quickly
barely-true,Its warmer on Mars than it is in parts of the United States and Canada during the polar vortex.,barely-true,warmer mars parts united states canada polar vortex
barely-true,"Says the Department of Homeland Security has ordered enough rounds of .40 caliber ammunition to kill every man, woman and child in the United States, possibly to combat massive civil unrest or an invasion by a foreign power.",barely-true,says department homeland security ordered enough rounds caliber ammunition kill every man woman child united states possibly combat massive civil unrest invasion foreign power
pants-fire,"If a President Romney got a call from the president of the (Mormon church), he has no choice but to obey. It is obedience over family and country.",pants-fire,president romney got call president mormon church choice obey obedience family country
barely-true,Under Gov. Rick Perrys leadership [Texas] has created more jobs over the last decade than the rest of the states combined.,barely-true,gov rick perrys leadership texas created jobs last decade rest states combined
half-true,Says Scott Bruun supports cutting the Department of Commerce and eliminating NOAA.,half-true,says scott bruun supports cutting department commerce eliminating noaa
barely-true,Says only 25 percent of Texas high school students graduate prepared for college or careers.,barely-true,says percent texas high school students graduate prepared college careers
pants-fire,"Blue Cross new $90-million Providence headquarters ""was outfitted with $25 million in decor.""",pants-fire,blue cross new million providence headquarters outfitted million decor
half-true,"Nationally, the unemployment rate for veterans is far greater than the national unemployment rate, and Wisconsin is one of those rare examples where unemployment is actually lower for veterans than it is for the population as a whole and certainly lower than it is nationally.",half-true,nationally unemployment rate veterans far greater national unemployment rate wisconsin one rare examples unemployment actually lower veterans population whole certainly lower nationally
barely-true,"Under Pat McCrory, (North Carolina) has fallen to 41st in teacher pay.",barely-true,pat mccrory north carolina fallen st teacher pay
true,"More than 27,000 Rhode Island jobs depend on trade with Canada.",true,rhode island jobs depend trade canada
false,"I have had to fill out FEC reports for the past six years now, and theyre much more detailed than a tax return...",false,fill fec reports past six years theyre much detailed tax return
false,Says Wisconsin Attorney General J.B. Van Hollen knew about (the Ken Kratz sexting) case for nearly a year and did nothing about it.,false,says wisconsin attorney general jb van hollen knew ken kratz sexting case nearly year nothing
barely-true,"He leant his name to a bill, did little or nothing three years ago to try to get it passed, (and) since then has done absolutely nothing other than disavow any attempt to move on the legislation.",barely-true,leant name bill little nothing three years ago try get passed since done absolutely nothing disavow attempt move legislation
false,"An Environmental Protection Agency regulation that goes into effect Jan. 1, 2012, regulates dust.",false,environmental protection agency regulation goes effect jan regulates dust
false,More businesses went out of business last year than were started for the first time in our history.,false,businesses went business last year started first time history
pants-fire,Says Hillary Clinton has not answered a single question about her immigration plan.,pants-fire,says hillary clinton answered single question immigration plan
mostly-true,Says Donald Trump literally has no plans to make higher education more affordable.,mostly-true,says donald trump literally plans make higher education affordable
false,Says Houston National Cemetery is preventing Christian prayers from being said at military funerals.,false,says houston national cemetery preventing christian prayers said military funerals
pants-fire,Was Martha Kanter dispatched to Corvallis with $17 million in stimulus money to save Craig Robinsons job?,pants-fire,martha kanter dispatched corvallis million stimulus money save craig robinsons job
half-true,Franklin Roosevelt (was) the last president to come to the Congress to ask for permission to engage into war.,half-true,franklin roosevelt last president come congress ask permission engage war
true,Says the proposed fiscal year 2013 budget is still below the level of state spending when I took office.,true,says proposed fiscal year budget still level state spending took office
pants-fire,I asked (then-Secretary of State Condoleezza Rice) how many people had died and she did not know the answer to that question.,pants-fire,asked thensecretary state condoleezza rice many people died know answer question
mostly-true,"In Massachusetts, Scott Browns Republican affiliation is not a secret, but clearly not on display.",mostly-true,massachusetts scott browns republican affiliation secret clearly display
true,"John McCain's top foreign policy adviser lobbied for... the Republic of Georgia, and McCain has mirrored the position advocated by the government.",true,john mccains top foreign policy adviser lobbied republic georgia mccain mirrored position advocated government
mostly-true,"Every month since 9/11, there have been as many suicide attacks against the United States and its allies as there were in all the years leading up to 9/11.",mostly-true,every month since many suicide attacks united states allies years leading
mostly-true,Fifty percent of Speaker Gingrichs tax plan goes to the top 1 percent.,mostly-true,fifty percent speaker gingrichs tax plan goes top percent
half-true,Says Donald Trump promised the mass deportation of Latino families.,half-true,says donald trump promised mass deportation latino families
barely-true,"Palin ""stopped the Bridge to Nowhere.""",barely-true,palin stopped bridge nowhere
mostly-true,Says the state tax burden per citizen in New York is twice as high as in Florida.,mostly-true,says state tax burden per citizen new york twice high florida
false,Two thirds of the people in Wisconsin strongly disagree with this idea of permanently taking away peoples rights to collective bargaining.,false,two thirds people wisconsin strongly disagree idea permanently taking away peoples rights collective bargaining
half-true,Says Eric Cantor was the co-author of the House GOP principles on immigration reform. Both the New York Times and the Washington Postsaid that thatcaptured the essence of what was in the Senate immigration bill.,half-true,says eric cantor coauthor house gop principles immigration reform new york times washington postsaid thatcaptured essence senate immigration bill
true,Wisconsins 6th congressional district has more manufacturing jobs than almost any other in the nation.,true,wisconsins th congressional district manufacturing jobs almost nation
pants-fire,I lost my health insurance and my doctor because of Obamacare.,pants-fire,lost health insurance doctor obamacare
barely-true,"As far as standing committees, we have 10 fewer standing committees. So weve saved the state about a quarter-of-a-million dollars through the reduction of the standing committees.",barely-true,far standing committees fewer standing committees weve saved state quarterofamillion dollars reduction standing committees
mostly-true,"(Obamas) entire national security team, including his secretary of state, said we want to arm and train and equip (Syrian rebel forces), and he made the unilateral decision to turn them down.",mostly-true,obamas entire national security team including secretary state said want arm train equip syrian rebel forces made unilateral decision turn
pants-fire,"Governor-elect Scott Walkers opposition to high-speed rail killed 13,000 Wisconsin jobs",pants-fire,governorelect scott walkers opposition highspeed rail killed wisconsin jobs
false,The only candidate pocketing big money from people who want to destroy coal is Mitch McConnell.,false,candidate pocketing big money people want destroy coal mitch mcconnell
mostly-true,"The Trans-Pacific Partnership knocks out 18,000 tariffs that other countries place on American products and goods.",mostly-true,transpacific partnership knocks tariffs countries place american products goods
true,$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times.,true,trillion national debt bills would cover entire state ohio nearly times
mostly-true,Tommy Thompson wanted to implant data chips in humans.,mostly-true,tommy thompson wanted implant data chips humans
mostly-true,Says New Jersey is 50th in return of our federal tax dollars.,mostly-true,says new jersey th return federal tax dollars
true,Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals in 2014.,true,granite staters hold individual policies anthemcan indeed renew policies keep current doctors hospitals
mostly-true,The U.S. Senate has one manufacturer thatd be me.,mostly-true,us senate one manufacturer thatd
mostly-true,"Because of the health care law, by 2017, we will be funneling over $100 billion annually to private insurance companies.",mostly-true,health care law funneling billion annually private insurance companies
mostly-true,"Says Walmart employees represent the largest group of Medicaid and food stamp recipients in many states, costing the taxpayer $1,000 per worker.",mostly-true,says walmart employees represent largest group medicaid food stamp recipients many states costing taxpayer per worker
mostly-true,"Oregon today has 100,000 more jobs than it did when I was elected.",mostly-true,oregon today jobs elected
half-true,Says Cory Gardner championed an eight-year crusade to outlaw birth control here in Colorado.,half-true,says cory gardner championed eightyear crusade outlaw birth control colorado
true,There are actually only 30 countries that practice birthright citizenship.,true,actually countries practice birthright citizenship
false,"In the U.S. Senate, Barack Obama ""has not reached across party lines to get anything significant done.""",false,us senate barack obama reached across party lines get anything significant done
barely-true,Says the Koch brothers funded the fight to let flood insurance premiums soar ... Now theyre spending millions to buy a Senate seat for Bill Cassidy so he can fight for them.,barely-true,says koch brothers funded fight let flood insurance premiums soar theyre spending millions buy senate seat bill cassidy fight
false,Former President Bill Clinton and his Clinton Health Access Initiative (CHAI) distributed watered-down HIV/AIDSdrugs to patients in sub-Saharan Africa.,false,former president bill clinton clinton health access initiative chai distributed watereddown hivaidsdrugs patients subsaharan africa
false,A study of private bail bond systems showed that Wisconsin has a higher no-show rate than other states of defendants skipping court appearances.,false,study private bail bond systems showed wisconsin higher noshow rate states defendants skipping court appearances
barely-true,We have billions in surplus.,barely-true,billions surplus
barely-true,Says Hillary Clintons plan would tax many small businesses by almost 50 percent.,barely-true,says hillary clintons plan would tax many small businesses almost percent
mostly-true,"While the United States has seen its unemployment rate steadily decline, New Jerseys remains nearly two percent higher than the national average and more than a point higher than Connecticut and New York.",mostly-true,united states seen unemployment rate steadily decline new jerseys remains nearly two percent higher national average point higher connecticut new york
mostly-true,"In 31 states, decent child care costs more than college tuition.",mostly-true,states decent child care costs college tuition
false,We have solved the problem. ... Scientists are now saying leave the nuclear waste where it is.,false,solved problem scientists saying leave nuclear waste
barely-true,"Says someone earning $50,000 a year will fare better under his 9-9-9 plan than under the current tax system.",barely-true,says someone earning year fare better plan current tax system
false,"Says the Internal Revenue Service estimated it must hire 16,500 agents at a cost of $10 billion to the taxpayer to enforce the federal health care overhaul.",false,says internal revenue service estimated must hire agents cost billion taxpayer enforce federal health care overhaul
false,On drilling off the Atlantic coast,false,drilling atlantic coast
mostly-true,Says Democratic U.S. Senate candidate Tammy Baldwin ranks as the most liberal member of the House.,mostly-true,says democratic us senate candidate tammy baldwin ranks liberal member house
barely-true,Says Ted Cruz supports legalizing people who are in this country illegally.,barely-true,says ted cruz supports legalizing people country illegally
false,Says our economy in New Jersey gets $38 billion from the businesses at the Shore.,false,says economy new jersey gets billion businesses shore
barely-true,"There are at least three sectors of the border, one in particular, that are just completely insecure.",barely-true,least three sectors border one particular completely insecure
mostly-true,"We have at least 200,000 to 300,000 hate crimes in a given year.",mostly-true,least hate crimes given year
false,Says your Legislative Assembly was within one vote of enacting each of those bills into Oregon law.,false,says legislative assembly within one vote enacting bills oregon law
barely-true,Says critics called the original GI Bill welfare.,barely-true,says critics called original gi bill welfare
true,The top 1 percent (of income earners) paid 36.7 percent (of the taxes). ... The top 50 percent pay 97.7 percent.,true,top percent income earners paid percent taxes top percent pay percent
false,Milwaukee has the second-highest number of children recovered from sex trafficking.,false,milwaukee secondhighest number children recovered sex trafficking
false,What they will do is socialized medicine.,false,socialized medicine
pants-fire,I didn't endorse the federal stimulus bill.,pants-fire,didnt endorse federal stimulus bill
half-true,Says Wisconsin Gov. Scott Walker doesnt make his calendar public -- hes on our dime and we dont know where he is.,half-true,says wisconsin gov scott walker doesnt make calendar public hes dime dont know
pants-fire,The stimulus has not created one private sector job.,pants-fire,stimulus created one private sector job
half-true,What is the maximum number of students allowed in your classroom? ... 30 or more!,half-true,maximum number students allowed classroom
mostly-true,Says the Central Ohio Human Trafficking Task Force is the first task force of its kind in Central Ohio,mostly-true,says central ohio human trafficking task force first task force kind central ohio
true,A bill before the Georgia General Assembly would make presidential candidates meet citizenship requirements that are not in the U.S. Constitution.,true,bill georgia general assembly would make presidential candidates meet citizenship requirements us constitution
true,"PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress.",true,pwned house gop dominates twitter youtube social media congress
false,"Americans ""have never paid more for gas at the pump.""",false,americans never paid gas pump
pants-fire,Virginia papers called (Scott) Rigells campaign Mostly False.,pants-fire,virginia papers called scott rigells campaign mostly false
half-true,Says she has opposed measures to weaken the Dodd-Frank Wall Street regulatory bill and campaign-finance legislation when they were offered as stand-alone bills.,half-true,says opposed measures weaken doddfrank wall street regulatory bill campaignfinance legislation offered standalone bills
